CODIGO;TITULO;
203110;Pesquisador em ciências da terra e meio ambiente;"INSERT INTO states (code, title) VALUES ('203110','Pesquisador em ciências da terra e meio ambiente');"
203105;Pesquisador em ciências da computação e informática;"INSERT INTO states (code, title) VALUES ('203105','Pesquisador em ciências da computação e informática');"
203120;Pesquisador em matemática;"INSERT INTO states (code, title) VALUES ('203120','Pesquisador em matemática');"
203125;Pesquisador em química;"INSERT INTO states (code, title) VALUES ('203125','Pesquisador em química');"
203215;Pesquisador de engenharia elétrica e eletrônica;"INSERT INTO states (code, title) VALUES ('203215','Pesquisador de engenharia elétrica e eletrônica');"
203210;Pesquisador de engenharia e tecnologia (outras áreas da engenharia);"INSERT INTO states (code, title) VALUES ('203210','Pesquisador de engenharia e tecnologia (outras áreas da engenharia)');"
203205;Pesquisador de engenharia civil;"INSERT INTO states (code, title) VALUES ('203205','Pesquisador de engenharia civil');"
203220;Pesquisador de engenharia mecânica;"INSERT INTO states (code, title) VALUES ('203220','Pesquisador de engenharia mecânica');"
203225;Pesquisador de engenharia metalúrgica, de minas e de materiais;"INSERT INTO states (code, title) VALUES ('203225','Pesquisador de engenharia metalúrgica, de minas e de materiais');"
203230;Pesquisador de engenharia química;"INSERT INTO states (code, title) VALUES ('203230','Pesquisador de engenharia química');"
203315;Pesquisador em medicina veterinária;"INSERT INTO states (code, title) VALUES ('203315','Pesquisador em medicina veterinária');"
203310;Pesquisador de medicina básica;"INSERT INTO states (code, title) VALUES ('203310','Pesquisador de medicina básica');"
203305;Pesquisador de clínica médica;"INSERT INTO states (code, title) VALUES ('203305','Pesquisador de clínica médica');"
203320;Pesquisador em saúde coletiva;"INSERT INTO states (code, title) VALUES ('203320','Pesquisador em saúde coletiva');"
203405;Pesquisador em ciências agronômicas;"INSERT INTO states (code, title) VALUES ('203405','Pesquisador em ciências agronômicas');"
203410;Pesquisador em ciências da pesca e aqüicultura;"INSERT INTO states (code, title) VALUES ('203410','Pesquisador em ciências da pesca e aqüicultura');"
203415;Pesquisador em ciências da zootecnia;"INSERT INTO states (code, title) VALUES ('203415','Pesquisador em ciências da zootecnia');"
203420;Pesquisador em ciências florestais;"INSERT INTO states (code, title) VALUES ('203420','Pesquisador em ciências florestais');"
203505;Pesquisador em ciências sociais e humanas;"INSERT INTO states (code, title) VALUES ('203505','Pesquisador em ciências sociais e humanas');"
203510;Pesquisador em economia;"INSERT INTO states (code, title) VALUES ('203510','Pesquisador em economia');"
203515;Pesquisador em ciências da educação;"INSERT INTO states (code, title) VALUES ('203515','Pesquisador em ciências da educação');"
203520;Pesquisador em história;"INSERT INTO states (code, title) VALUES ('203520','Pesquisador em história');"
203525;Pesquisador em psicologia;"INSERT INTO states (code, title) VALUES ('203525','Pesquisador em psicologia');"
204105;Perito criminal;"INSERT INTO states (code, title) VALUES ('204105','Perito criminal');"
211120;Matemático aplicado;"INSERT INTO states (code, title) VALUES ('211120','Matemático aplicado');"
211105;Atuário;"INSERT INTO states (code, title) VALUES ('211105','Atuário');"
211110;Especialista em pesquisa operacional;"INSERT INTO states (code, title) VALUES ('211110','Especialista em pesquisa operacional');"
211115;Matemático;"INSERT INTO states (code, title) VALUES ('211115','Matemático');"
211215;Estatístico teórico;"INSERT INTO states (code, title) VALUES ('211215','Estatístico teórico');"
211205;Estatístico;"INSERT INTO states (code, title) VALUES ('211205','Estatístico');"
211210;Estatístico (estatística aplicada);"INSERT INTO states (code, title) VALUES ('211210','Estatístico (estatística aplicada)');"
212210;Engenheiro de equipamentos em computação;"INSERT INTO states (code, title) VALUES ('212210','Engenheiro de equipamentos em computação');"
212205;Engenheiro de aplicativos em computação;"INSERT INTO states (code, title) VALUES ('212205','Engenheiro de aplicativos em computação');"
212215;Engenheiros de sistemas operacionais em computação;"INSERT INTO states (code, title) VALUES ('212215','Engenheiros de sistemas operacionais em computação');"
212320;Administrador em segurança da informação;"INSERT INTO states (code, title) VALUES ('212320','Administrador em segurança da informação');"
212310;Administrador de redes;"INSERT INTO states (code, title) VALUES ('212310','Administrador de redes');"
